Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.46362098,88.70445344,86.25091174,83.62965448,84.63035019,70.68297047,69.39617084,68.65034169,70.07379065,67.76511397,76.98863636,76.45329111,74.90089714,73.59009629,74.64449792,75.25045537,84.68869123,83.55052339,85.33688306,84.60768615,72.9826546,70.41752481,71.25564589,74.63363573,71.98625407,64.92778084,68.25140674
Africa Eastern and Southern,AFE,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.66853944,19.48130178,21.19271077,21.38473018,24.13653286,25.99087318,26.60097046,26.29356451,27.20030507,25.6694689,25.86736317,27.02183272,28.24629275,26.73144001,27.39193519,28.48335289,29.7046445,31.97665645,36.38813655,32.03542023,30.63084665,31.79583818,32.96149337,33.65477776,31.64190659,29.30712638,26.07366565,24.62266918,28.04239226,26.2438257,23.31233224,25.53167887
Afghanistan,AFG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,7.024793366,8.097166298,9.349593306,16.86391033,18.05555539,21.41280348,18.57142854,14.20982704,15.21035643,14.98422725,11.94410778,16.1407952,18.10584979,14.74359071,14.84536122,14.27230078,14.86956541,14.8231755,13.87205375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,22.66441879,23.61773022,20.63908964,20.41207268,21.21626197,22.12423838,20.5784686,22.63764698,22.75796334,22.47498513,19.09874533,22.02661253,20.91148618,23.37314846,23.88849131,29.7620112,30.00776965,29.7295206,30.38776666,27.3713457,27.30919009,16.22071612,14.10421098,13.51713564,13.98127651,15.56738067,17.98999658,19.44030034,18.61729146,20.76734436,20.29833608,21.51329783,22.43247901,22.30070183,23.58594859,25.85549239,25.88393558,29.13136967,28.64202117,24.25966907,23.73088986,28.32397021,25.39538098,28.30645033,22.04775901,21.76605129,21.36148076,25.68061646,23.92812497,25.3134066,25.86576367,28.14702129,22.91683986,21.76321505,20.76512022,20.14950385,21.27796924,22.41610245,24.5202614,26.05481353,17.18302744,21.33910748
Angola,AGO,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.86127827,74.94685096,48.21659641,49.57989074,45.19958873,41.06469436,31.15729583,40.15428452,48.88967965,63.68882591,42.58053241,39.31255882,35.85996671,36.06484697,34.63789332,33.13391814,25.24567262,23.25272516,25.5417235,17.03878307,16.24537278,16.19734892
Albania,ALB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,23.53660059,22.28995962,24.7376437,21.55859246,20.07535159,19.1144514,16.03112475,16.12964208,19.9184766,21.472733,24.03189957,28.58570134,96.28588075,64.53950296,41.11889039,34.96976538,33.27511148,35.22842897,36.67036856,34.16926739,43.33878759,45.1576132,47.57945205,46.17317459,44.82962655,47.85935563,49.05748251,54.95421469,52.14933338,49.85416579,48.563955,51.97703179,47.57271286,46.95739871,47.19484414,44.53361519,45.83196365,46.62446595,45.23619092,44.97492449,37.24776794,43.9123447
Andorra,AND,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.35754555,34.19497757,32.95033134,32.4328501,33.69567033,31.83585684,30.13990911,31.21492318,32.16964897,32.80735705,36.04654874,35.97639611,35.5307764,39.84732588,40.63543993,41.53531758,37.09036627,35.75720167,36.35696078,37.50925361,38.4752591,41.09010325,38.33447802,39.33929519,37.72515284,38.56291182,36.81156411,
United Arab Emirates,ARE,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7053546,43.56831143,46.37697028,53.05488271,51.96756025,50.84287191,64.41405537,69.64565532,73.8086265,61.63508943,61.58937762,62.33550724,63.09289637,67.10571312,71.91304863,73.23996667,74.46103279,65.92579627,70.71939617,70.64530074,
Argentina,ARG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,7.604046979,5.994945316,9.383682891,7.890452033,5.563714075,4.150582972,4.989688034,4.997064147,5.403711423,6.398713317,4.735877405,6.607956034,6.837877358,5.70950079,6.28900906,5.978672496,5.921496328,7.326394155,5.715406434,6.329769174,6.48369978,7.371927999,6.520993021,5.83614942,4.756486117,6.27332705,6.324055248,7.57576407,6.211845636,6.579388793,4.631322407,6.078010811,8.132793114,9.313799914,10.60439714,10.09101283,11.07787165,12.77532874,12.93444601,11.55557045,11.63606955,10.27324737,13.37012736,14.7138051,16.84502668,17.30539424,17.40678527,18.28242031,18.341773,14.49614185,16.03718986,16.75694585,14.28868291,14.71675561,14.00131506,11.78057404,13.56679268,13.96931778,16.32585021,14.70573667,13.60892749,14.9452529
Armenia,ARM,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.33273703,60.12046681,61.25600438,60.75417041,73.10132525,62.18693624,55.98955662,58.27447567,52.83943191,49.80223219,50.07191142,45.718412,46.15239348,49.56836971,44.87989017,42.82654063,38.88415655,38.7856901,40.27659839,42.603335,44.89456066,46.9123854,48.39986448,49.20156302,47.21848531,41.95668313,42.3336876,48.98633088,53.08021299,54.76335277,39.72382062,43.83078385
American Samoa,ASM,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.765625,109.5419847,111.9842829,123.6,129.4117647,120.6563707,135.3571429,82.81481481,94.41535777,98.77192982,100.9375,102.0376176,108.0870918,98.81129272,95.23099851,102.2875817,103.599374,94.89953632,96.50837989,102.1156559
Antigua and Barbuda,ATG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.29257355,88.72356201,94.24120719,91.41063779,87.10486649,83.4308627,85.63183387,74.76694156,75.34354324,72.21113046,77.39580585,79.83022386,82.72266474,87.6254523,88.03340434,86.14588599,71.28922445,73.25833712,69.87843548,72.51239251,75.61968833,73.95355454,63.75049528,64.26247428,66.12956599,70.53929729,68.52545025,47.82072351,
Australia,AUS,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,14.03719978,14.99943098,12.60962447,13.81031614,13.74052986,15.24166774,15.10540563,13.86998271,14.46129618,13.3117577,13.19875356,12.91489151,11.95339858,11.00138496,13.19373116,14.71174357,13.36188797,14.6303688,14.57099888,15.33544981,15.88651745,16.7166589,16.8063643,15.60266089,14.98380787,17.26725324,18.03712308,17.05371673,16.61274918,16.9474313,17.03771608,16.16049502,16.38596798,17.85969138,18.48652332,19.83473575,19.34440983,18.85460307,20.43583042,20.74903281,21.56170714,22.08217333,20.73372362,21.15525966,19.85792362,20.94805422,21.72070589,21.83933606,22.70706176,22.73312185,20.72104888,20.40513169,21.66739103,21.28919139,21.37536853,21.55503741,21.55057682,20.72016138,21.516144,21.67518659,20.22515106,17.7948769
