Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,54.49567829,54.58870115,54.58563049,54.67420618,54.87344764,55.18147717,55.57720039,56.08645615,56.64573192,57.15826732,57.66370873,58.18860354,58.85006499,59.68533913,60.59389447,61.48759378,62.40388937,63.27777371,63.97437559,64.51875625,64.87597665,64.89974207,64.89479688,65.07152615,65.28761424,65.63323924,66.10149799,66.59038014,66.9842923,67.08826466,66.68619648,65.7845102,65.53785002,66.14704256,66.80319366,67.5853342,68.3789365,68.96332674,69.35925553,69.61964843,69.82525449,69.97094514,70.07005807,70.19665376,70.33819937,70.35710128,70.21855209,70.0372984,69.84213641,69.65084869,69.64167368,69.7940526,69.85941838,69.79539269,69.62082746,69.35232477,69.02774268,68.68126918,68.32056926,67.96251497,67.71200315,67.65709405
Africa Eastern and Southern,AFE,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,52.82741578,52.76049028,52.68267584,52.58650966,52.48552001,52.37662819,52.25776182,52.14215374,52.03157611,51.92189826,51.80144227,51.6792374,51.56387569,51.48046458,51.44197331,51.41422138,51.36999407,51.34133418,51.35254397,51.3619443,51.38687508,51.40084663,51.39553258,51.42812476,51.49157251,51.5528418,51.59710322,51.60095369,51.57389656,51.55223381,51.5369286,51.51864686,51.49266824,51.46070313,51.54441725,51.67427617,51.71219425,51.77011253,51.91319177,52.10097423,52.29256574,52.49528941,52.69527811,52.8812795,53.05303164,53.20140255,53.33356692,53.45488762,53.56174799,53.66134077,53.76713151,53.8800734,53.99082736,54.10481905,54.23438844,54.39035024,54.53067816,54.66607049,54.8342663,55.02153843,55.23519375,55.47192591
Afghanistan,AFG,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,55.53978409,55.48702296,55.43177862,55.33565541,55.18168216,54.94662027,54.65833233,54.37499688,54.09962714,53.83266142,53.5777064,53.33528295,53.10291867,52.87976658,52.66146153,52.45024712,52.24759145,52.05081632,51.86062917,51.67755513,51.502597,51.33698694,51.18520847,51.06466405,50.95689916,50.85054572,50.74146226,50.6349805,50.52647916,50.41321141,50.27893005,50.11098943,49.9245652,49.73340374,49.50781934,49.25417713,48.98505375,48.71189594,48.4451498,48.19916422,47.99693445,47.84920436,47.76754512,47.74465636,47.78131645,48.08510671,48.46694431,47.9988969,47.79192263,48.34519934,48.67757064,49.36175767,50.17552488,50.72909461,51.35930018,51.80207836,52.08004369,52.4815669,52.88446243,53.29089424,53.77513484,54.17139886
Africa Western and Central,AFW,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,55.37594595,55.27524348,55.14979258,54.97157907,54.71634399,54.4902649,54.32998186,54.17724129,54.03129835,53.88778786,53.75467378,53.62055347,53.47886679,53.33921591,53.19526851,53.04386768,52.90001588,52.76248088,52.60899554,52.44548072,52.27363803,52.09765539,51.93127909,51.75192901,51.55204387,51.37420028,51.2458206,51.17633245,51.19384746,51.2516607,51.30893867,51.39453748,51.51525753,51.66166082,51.81694794,51.9829186,52.14526677,52.29240807,52.44528705,52.57549149,52.65940897,52.70385502,52.73512845,52.7734004,52.81094414,52.83218736,52.832747,52.82931359,52.82544291,52.82084744,52.81440047,52.80266548,52.7850562,52.79089435,52.85113204,52.94527098,53.06444272,53.21543135,53.38609356,53.57006091,53.78369693,54.02182666
Angola,AGO,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,54.68325731,54.17723929,53.64556996,53.091408,52.49071115,51.9434876,51.47963697,51.04610843,50.65916681,50.337069,50.02393568,49.83858797,49.92126534,50.13321594,50.36317192,50.59135073,50.81124991,51.04339524,51.28172613,51.49627301,51.69163822,51.85228588,51.96698905,52.04340032,52.06469279,52.01818422,51.90416502,51.74766695,51.5913391,51.44748048,51.31808292,51.1869975,51.07270473,50.96955927,50.87419201,50.83770583,50.85221631,50.89682732,50.96746155,51.04388087,51.13117176,51.2247451,51.31625615,51.40806901,51.49237459,51.56030229,51.61026568,51.64536681,51.6591851,51.65786789,51.65647439,51.66241352,51.66770435,51.67004615,51.67906075,51.69363526,51.73557938,51.80985048,51.89452052,51.99841514,52.10342311,52.22642532
Albania,ALB,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,53.47226402,53.07780294,52.69714128,52.37757318,52.16105592,52.08922429,52.14449204,52.27500859,52.4760683,52.7463947,53.08906708,53.49868525,53.9579007,54.47615919,55.05169987,55.6609658,56.29634134,56.9484052,57.60174439,58.24304382,58.83966881,59.37467678,59.85050535,60.26864116,60.63034579,60.93179579,61.18165536,61.3836437,61.53075749,61.63271288,61.69850038,61.73586267,61.74443562,61.73360251,61.71364377,61.69693737,61.72522744,61.83453457,62.0328166,62.30628129,62.63416593,63.00657785,63.41676509,63.84814893,64.30753382,64.80907356,65.33881581,65.8829969,66.41929417,66.93594,67.40694162,67.79014319,68.06286787,68.21911844,68.28993912,68.29988963,68.23476266,68.15564597,68.06658503,67.89768966,67.70636816,67.48403516
Andorra,AND,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,66.30659253,66.18374039,66.05529577,65.91916888,65.78408195,65.71797235,65.4853568,64.96554352,64.53643257,64.43980704,64.63583495,65.0024623,65.48265592,66.04013364,66.60513412,67.13761103,67.62933757,68.08943746,68.52963298,68.98980728,69.58524052,70.34538696,70.75366599,70.85229521,71.13713683,71.62031066,71.97864246,72.13813373,72.31972933,72.51372522,72.72701817,72.99245055,73.24971414,73.42281425,73.52179825,73.54654166,73.37386492,73.02340682,72.65726273,72.31132435,72.00499262,71.99793571,72.25911628,72.51293847,72.79468632,73.1564475,73.1957542,72.94562388,72.80915127,72.75700049,72.85565475,72.7587062,72.41189931,72.1234753,71.95674483,71.90834268,71.89569964,72.12015737,72.39430236,72.48536212,72.47039897,72.389731
Arab World,ARB,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,53.00786718,52.76665351,52.56089742,52.37047878,52.20185776,52.04799331,51.90803331,51.80052162,51.74296515,51.71800268,51.69872658,51.68361061,51.66913434,51.66491645,51.69676105,51.69461476,51.66136068,51.71140693,51.82223019,51.94357536,52.07665484,52.21134675,52.34595659,52.48040992,52.60995246,52.74202581,52.87363979,53.00830769,53.16938969,53.3632136,53.5488307,53.83258784,54.1611158,54.51139748,54.902497,55.33218042,55.7946567,56.29090564,56.8056318,57.32676638,57.84672063,58.35402306,58.84210097,59.31032011,59.75722874,60.22447623,60.76455733,61.3325419,61.79715311,62.1448374,62.36565445,62.42974535,62.41115197,62.33510634,62.23732821,62.17095594,62.16159897,62.18895564,62.23349142,62.29130109,62.30166535,62.33738573
United Arab Emirates,ARE,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,59.13652512,59.98021052,60.69318735,61.27612551,61.73630037,62.07000716,62.27281942,62.35465914,63.089968,64.63404281,66.27130897,67.72342408,68.91646501,69.84764894,70.51318666,70.91833918,71.4078352,71.85578211,71.94806711,71.77042473,71.45861367,70.79409733,69.91191551,69.17660919,68.55557522,68.06257029,67.69184941,67.63385449,67.97960303,68.56855762,69.28508069,70.04712994,70.80283296,71.5345408,72.25818626,73.00472044,73.54500172,74.09079397,74.95647232,75.94878619,76.92767422,77.79752026,78.51580275,79.0921616,79.56891464,80.22280342,81.62619187,83.46807151,85.00262102,85.98237955,86.07924571,85.67754357,85.40953318,85.24003646,85.12385452,85.00817941,84.84343297,84.59567732,84.25094852,83.81677694,83.40503887,83.0985523
Argentina,ARG,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,63.71350332,63.71230792,63.72156956,63.73085876,63.73270279,63.73446567,63.74332035,63.75251085,63.76146753,63.76082416,63.73357746,63.67171566,63.58496114,63.45398964,63.26044717,63.02713041,62.76279079,62.47992235,62.19437576,61.91402819,61.65159772,61.42053476,61.22918344,61.07320124,60.95007853,60.86165462,60.80709466,60.78401251,60.79329509,60.83656551,60.8964173,60.96171836,61.04283014,61.14007279,61.2443886,61.3591756,61.49046287,61.63706774,61.78938402,61.93454097,62.07788192,62.23334312,62.40072068,62.58490562,62.77392936,62.95704607,63.14126807,63.32916137,63.51885889,63.69573884,63.84651817,63.95715611,64.02365159,64.06688605,64.11354661,64.15830727,64.20366046,64.26271086,64.3470943,64.45985766,64.6161478,64.82135545
